#mpa_vOct22_CHOCOPhlAnSGB_202212
#clade_name	relative_abundance
d__Bacteria	99.80559
d__Archaea	0.1944
d__Bacteria;p__Firmicutes_A	85.02365
d__Bacteria;p__Actinobacteriota	5.76195
d__Bacteria;p__Bacteroidota	3.3051399999999997
d__Bacteria;p__Verrucomicrobiota	1.33055
d__Bacteria;p__Firmicutes	3.2870900000000005
d__Bacteria;p__Firmicutes_C	0.98534
d__Archaea;p__Methanobacteriota	0.1944
d__Bacteria;p__Proteobacteria	0.08111
d__Bacteria;p__Firmicutes_B	0.021929999999999998
d__Bacteria;p__Desulfobacterota_I	0.00883
d__Bacteria;p__Firmicutes_A;c__Clostridia	85.02365
d__Bacteria;p__Actinobacteriota;c__Actinomycetia	3.1719999999999997
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia	2.58995
d__Bacteria;p__Bacteroidota;c__Bacteroidia	3.3051399999999997
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae	1.3293
d__Bacteria;p__Firmicutes;c__Bacilli	3.2870900000000005
d__Bacteria;p__Firmicutes_C;c__Negativicutes	0.98534
d__Archaea;p__Methanobacteriota;c__Methanobacteria	0.1944
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.08111
d__Bacteria;p__Firmicutes_B;c__Peptococcia	0.021929999999999998
d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia	0.00883
d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria	0.00125
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales	40.12805
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales	35.6671
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales	7.981800000000001
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales	3.1719999999999997
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales	2.58995
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales	3.3051399999999997
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales	1.3293
d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39	2.8636600000000003
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales	0.98534
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77	1.14235
