#mpa_vOct22_CHOCOPhlAnSGB_202212
#clade_name	relative_abundance
d__Bacteria	99.68094999999998
d__Archaea	0.23329
d__Bacteria;p__Firmicutes_A	90.19730999999999
d__Bacteria;p__Bacteroidota	3.11046
d__Bacteria;p__Actinobacteriota	3.0277400000000005
d__Bacteria;p__Firmicutes_C	0.99962
d__Bacteria;p__Verrucomicrobiota	0.57993
d__Bacteria;p__Firmicutes_B	0.32734
d__Bacteria;p__Firmicutes	1.29181
d__Archaea;p__Methanobacteriota	0.23329
d__Bacteria;p__Desulfobacterota_I	0.09048
d__Bacteria;p__Proteobacteria	0.05626
d__Bacteria;p__Firmicutes_A;c__Clostridia	90.19730999999999
d__Bacteria;p__Bacteroidota;c__Bacteroidia	3.11046
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia	2.4546000000000006
d__Bacteria;p__Firmicutes_C;c__Negativicutes	0.99962
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae	0.57993
d__Bacteria;p__Actinobacteriota;c__Actinomycetia	0.57314
d__Bacteria;p__Firmicutes_B;c__Peptococcia	0.32734
d__Bacteria;p__Firmicutes;c__Bacilli	1.29181
d__Archaea;p__Methanobacteriota;c__Methanobacteria	0.23329
d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia	0.09048
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	0.05626
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales	44.18046999999999
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales	6.364830000000001
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales	36.84142000000001
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales	3.11046
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales	2.4546000000000006
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77	2.7196899999999995
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales	0.99962
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales	0.57993
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales	0.50013
d__Bacteria;p__Firmicutes_B;c__Peptococcia;o__Peptococcales	0.32734
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales	0.36407
d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39	0.71367
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	0.19841
d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales	0.23329
d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales	0.09048
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales	0.07301
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales	0.04621
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales	0.04704
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__UBA1381	0.02228
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales	0.02158
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales	0.01034
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales_A	0.00976
d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales	0.00532
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales	0.00029
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae	32.657309999999995
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-74	5.900150000000001
