#mpa_vOct22_CHOCOPhlAnSGB_202212
#clade_name	relative_abundance
d__Bacteria	100.00001999999999
d__Bacteria;p__Firmicutes_A	90.73279
d__Bacteria;p__Bacteroidota	4.90647
d__Bacteria;p__Actinobacteriota	3.22936
d__Bacteria;p__Verrucomicrobiota	0.83466
d__Bacteria;p__Firmicutes_C	0.29674
d__Bacteria;p__Firmicutes_A;c__Clostridia	90.73279
d__Bacteria;p__Bacteroidota;c__Bacteroidia	4.90647
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia	3.22936
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae	0.83466
d__Bacteria;p__Firmicutes_C;c__Negativicutes	0.29674
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales	56.66813
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales	29.288419999999995
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales	4.90647
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales	4.5390500000000005
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales	3.22936
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales	0.83466
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales	0.29674
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales	0.23719
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae	37.19328
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	28.158819999999995
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae	6.185560000000001
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae	10.449589999999997
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	4.90647
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-74	4.26698
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	2.73813
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae	2.8396999999999997
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae	1.1296
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae	0.83466
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae	0.49123
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae	0.29674
