#mpa_vOct22_CHOCOPhlAnSGB_202212
#clade_name	relative_abundance
d__Bacteria	99.55773
d__Archaea	0.44228999999999996
d__Bacteria;p__Firmicutes_A	86.65993999999999
d__Bacteria;p__Actinobacteriota	5.551290000000001
d__Bacteria;p__Firmicutes_C	1.57147
d__Bacteria;p__Bacteroidota	2.16843
d__Bacteria;p__Verrucomicrobiota	1.07169
d__Bacteria;p__Firmicutes	1.81288
d__Archaea;p__Methanobacteriota	0.44228999999999996
d__Bacteria;p__Proteobacteria	0.35755000000000003
d__Bacteria;p__Firmicutes_B	0.20303
d__Bacteria;p__Desulfobacterota_I	0.16145
d__Bacteria;p__Firmicutes_A;c__Clostridia	86.65993999999999
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia	5.1801200000000005
d__Bacteria;p__Firmicutes_C;c__Negativicutes	1.57147
d__Bacteria;p__Bacteroidota;c__Bacteroidia	2.16843
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae	1.07087
d__Bacteria;p__Firmicutes;c__Bacilli	1.81288
d__Archaea;p__Methanobacteriota;c__Methanobacteria	0.44228999999999996
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	0.2796
d__Bacteria;p__Firmicutes_B;c__Peptococcia	0.20303
d__Bacteria;p__Actinobacteriota;c__Actinomycetia	0.37116999999999994
d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia	0.16145
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.07795
d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria	0.00082
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales	39.739360000000005
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales	8.27534
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales	35.00071999999999
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales	5.1801200000000005
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales	1.57147
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales	2.16843
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77	2.74403
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales	1.07087
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales	0.8271
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales	0.87565
d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales	0.44228999999999996
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales	0.2796
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	0.30475
d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39	0.61014
d__Bacteria;p__Firmicutes_B;c__Peptococcia;o__Peptococcales	0.20303
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales	0.33027999999999996
d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales	0.16145
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales	0.06672
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__UBA1381	0.05848
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales	0.04089
d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales	0.02234
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales	0.01491
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales	0.01123
d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales	0.00082
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae	25.13035
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-74	7.54403
