Data;Sequenced;File_name;Run;Sample_ID;Project;IgA_interaction;Group
334277403;Dec;ENT103_IgAneg_S172_R1_001.fastq.gz;Run_1;ENT103_IgAneg;Sorting_MS;IgAneg;CIS_IgAneg
30621514;Apr;ENT103_IgApos_S128_R2_001.fastq.gz;Run_2;ENT103_IgApos;Sorting_MS;IgApos;CIS_IgApos
29690443;Apr;ENT103_IgApos_S128_R1_001.fastq.gz;Run_2;ENT103_IgApos;Sorting_MS;IgApos;CIS_IgApos
468860596;Dec;ENT103_IgApos_S145_R2_001.fastq.gz;Run_1;ENT103_IgApos;Sorting_MS;IgApos;CIS_IgApos
445879176;Dec;ENT103_IgApos_S145_R1_001.fastq.gz;Run_1;ENT103_IgApos;Sorting_MS;IgApos;CIS_IgApos
272499604;Apr;ENT112_IgAneg_S161_R2_001.fastq.gz;Run_2;ENT112_IgAneg;Sorting_MS;IgAneg;CIS_IgAneg
267985671;Apr;ENT112_IgAneg_S161_R1_001.fastq.gz;Run_2;ENT112_IgAneg;Sorting_MS;IgAneg;CIS_IgAneg
425267463;Dec;ENT112_IgAneg_S185_R2_001.fastq.gz;Run_1;ENT112_IgAneg;Sorting_MS;IgAneg;CIS_IgAneg
413680421;Dec;ENT112_IgAneg_S185_R1_001.fastq.gz;Run_1;ENT112_IgAneg;Sorting_MS;IgAneg;CIS_IgAneg
18632347;Apr;ENT112_IgApos_S132_R2_001.fastq.gz;Run_2;ENT112_IgApos;Sorting_MS;IgApos;CIS_IgApos
18166057;Apr;ENT112_IgApos_S132_R1_001.fastq.gz;Run_2;ENT112_IgApos;Sorting_MS;IgApos;CIS_IgApos
177558689;Dec;ENT112_IgApos_S149_R2_001.fastq.gz;Run_1;ENT112_IgApos;Sorting_MS;IgApos;CIS_IgApos
171247883;Dec;ENT112_IgApos_S149_R1_001.fastq.gz;Run_1;ENT112_IgApos;Sorting_MS;IgApos;CIS_IgApos
68041660;Dec;ENT112_100K_IgApos_S124_R2_001.fastq.gz;Run_1;ENT112_IgApos;Sorting_MS;IgApos;CIS_IgApos
65774579;Dec;ENT112_100K_IgApos_S124_R1_001.fastq.gz;Run_1;ENT112_IgApos;Sorting_MS;IgApos;CIS_IgApos
1221542153;Apr;ENT113_IgAneg_S165_R2_001.fastq.gz;Run_2;ENT113_IgAneg;Sorting_MS;IgAneg;CIS_IgAneg
1205191246;Apr;ENT113_IgAneg_S165_R1_001.fastq.gz;Run_2;ENT113_IgAneg;Sorting_MS;IgAneg;CIS_IgAneg
259022300;Dec;ENT113_IgAneg_S189_R2_001.fastq.gz;Run_1;ENT113_IgAneg;Sorting_MS;IgAneg;CIS_IgAneg
252092004;Dec;ENT113_IgAneg_S189_R1_001.fastq.gz;Run_1;ENT113_IgAneg;Sorting_MS;IgAneg;CIS_IgAneg
64926186;Apr;ENT113_IgApos_S130_R2_001.fastq.gz;Run_2;ENT113_IgApos;Sorting_MS;IgApos;CIS_IgApos
63273989;Apr;ENT113_IgApos_S130_R1_001.fastq.gz;Run_2;ENT113_IgApos;Sorting_MS;IgApos;CIS_IgApos
381696172;Dec;ENT113_IgApos_S147_R2_001.fastq.gz;Run_1;ENT113_IgApos;Sorting_MS;IgApos;CIS_IgApos
369772102;Dec;ENT113_IgApos_S147_R1_001.fastq.gz;Run_1;ENT113_IgApos;Sorting_MS;IgApos;CIS_IgApos
74428687;Dec;ENT113_100K_IgApos_S125_R2_001.fastq.gz;Run_1;ENT113_IgApos;Sorting_MS;IgApos;CIS_IgApos
71806218;Dec;ENT113_100K_IgApos_S125_R1_001.fastq.gz;Run_1;ENT113_IgApos;Sorting_MS;IgApos;CIS_IgApos
1856046;Apr;ENT115_IgAneg_S159_R2_001.fastq.gz;Run_2;ENT115_IgAneg;Sorting_MS;IgAneg;CIS_IgAneg
1824001;Apr;ENT115_IgAneg_S159_R1_001.fastq.gz;Run_2;ENT115_IgAneg;Sorting_MS;IgAneg;CIS_IgAneg
13883119;Dec;ENT115_IgAneg_S183_R2_001.fastq.gz;Run_1;ENT115_IgAneg;Sorting_MS;IgAneg;CIS_IgAneg
13525829;Dec;ENT115_IgAneg_S183_R1_001.fastq.gz;Run_1;ENT115_IgAneg;Sorting_MS;IgAneg;CIS_IgAneg
108773990;Apr;ENT115_IgApos_v2_S148_R2_001.fastq.gz;Run_2;ENT115_IgApos;Sorting_MS;IgApos;CIS_IgApos
106080750;Apr;ENT115_IgApos_v2_S148_R1_001.fastq.gz;Run_2;ENT115_IgApos;Sorting_MS;IgApos;CIS_IgApos
83625750;Apr;ENT115_IgApos_v1_S135_R2_001.fastq.gz;Run_2;ENT115_IgApos;Sorting_MS;IgApos;CIS_IgApos
81837477;Apr;ENT115_IgApos_v1_S135_R1_001.fastq.gz;Run_2;ENT115_IgApos;Sorting_MS;IgApos;CIS_IgApos
301141736;Dec;ENT115_IgApos_v1_S153_R2_001.fastq.gz;Run_1;ENT115_IgApos;Sorting_MS;IgApos;CIS_IgApos
292047412;Dec;ENT115_IgApos_v1_S153_R1_001.fastq.gz;Run_1;ENT115_IgApos;Sorting_MS;IgApos;CIS_IgApos
133948851;Dec;ENT115_IgApos_v2_S166_R2_001.fastq.gz;Run_1;ENT115_IgApos;Sorting_MS;IgApos;CIS_IgApos
128890185;Dec;ENT115_IgApos_v2_S166_R1_001.fastq.gz;Run_1;ENT115_IgApos;Sorting_MS;IgApos;CIS_IgApos
4580072;Dec;ENT115_100K_IgApos_S126_R2_001.fastq.gz;Run_1;ENT115_IgApos;Sorting_MS;IgApos;CIS_IgApos
4089597;Dec;ENT115_100K_IgApos_S126_R1_001.fastq.gz;Run_1;ENT115_IgApos;Sorting_MS;IgApos;CIS_IgApos
