#mpa_vOct22_CHOCOPhlAnSGB_202212
#/home/nthukus/.conda/envs/iphop/bin/metaphlan m2_30pos_S193_R1_001.fastq.gz,m2_30pos_S193_R2_001.fastq.gz --bowtie2out m2_30pos_S193_R1_001.fastq.gz.bowtie2.bz2 --bowtie2db /scratchbeta/nthukus/metaphlan-4.0.3 --nproc 42 --input_type fastq -o m2_30pos_S193_R1_001.fastq.gz.tsv -s m2_30pos_S193_R1_001.fastq.gz.sam.bz2
#8936764 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	99.96597	
k__Archaea	2157	0.03403	
k__Bacteria|p__Firmicutes	2|1239	84.52878	
k__Bacteria|p__Actinobacteria	2|201174	9.9778	
k__Bacteria|p__Bacteroidetes	2|976	3.3669	
k__Bacteria|p__Proteobacteria	2|1224	1.22411	
k__Bacteria|p__Verrucomicrobia	2|74201	0.86772	
k__Archaea|p__Euryarchaeota	2157|28890	0.03403	
k__Bacteria|p__Tenericutes	2|544448	0.00065	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	55.98054	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	13.26814	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	7.01362	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	3.3669	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	2.96418	
k__Bacteria|p__Firmicutes|c__CFGB58251	2|1239|	2.74574	
k__Bacteria|p__Firmicutes|c__CFGB9989	2|1239|	1.54683	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	1.42617	
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	1.33129	
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	1.325	
k__Bacteria|p__Firmicutes|c__CFGB75721	2|1239|	1.14109	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.86772	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.81639	
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	0.69605	
k__Bacteria|p__Proteobacteria|c__CFGB3069	2|1224|	0.62727	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.43994	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.40773	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.3502	
k__Bacteria|p__Firmicutes|c__CFGB3529	2|1239|	0.34334	
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.28964	
k__Bacteria|p__Firmicutes|c__CFGB1320	2|1239|	0.27752	
k__Bacteria|p__Firmicutes|c__CFGB76465	2|1239|	0.24065	
k__Bacteria|p__Firmicutes|c__CFGB1213	2|1239|	0.14336	
k__Bacteria|p__Firmicutes|c__CFGB31455	2|1239|	0.1244	
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.11562	
k__Bacteria|p__Firmicutes|c__CFGB3071	2|1239|	0.09053	
k__Bacteria|p__Firmicutes|c__CFGB31626	2|1239|	0.08503	
k__Bacteria|p__Firmicutes|c__CFGB1470	2|1239|	0.0471	
k__Bacteria|p__Firmicutes|c__CFGB2954	2|1239|	0.04512	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.03403	
k__Bacteria|p__Firmicutes|c__CFGB75922	2|1239|	0.03348	
k__Bacteria|p__Firmicutes|c__CFGB73062	2|1239|	0.02777	
k__Bacteria|p__Firmicutes|c__CFGB2932	2|1239|	0.0161	
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.00386	
k__Bacteria|p__Tenericutes|c__CFGB1789	2|544448|	0.00065	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	55.70552	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	13.09987	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	4.67552	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	3.3669	
k__Bacteria|p__Firmicutes|c__CFGB58251|o__OFGB58251	2|1239||	2.74574	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	2.73512	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	2.3381	
k__Bacteria|p__Firmicutes|c__CFGB9989|o__OFGB9989	2|1239||	1.54683	
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642	2|1239||	1.42617	
k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982	2|1239||	1.33129	
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068	2|1239||	1.325	
k__Bacteria|p__Firmicutes|c__CFGB75721|o__OFGB75721	2|1239||	1.14109	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	0.86772	
k__Bacteria|p__Firmicutes|c__CFGB76783|o__OFGB76783	2|1239||	0.69605	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	2|1224|1236|135624	0.68112	
k__Bacteria|p__Proteobacteria|c__CFGB3069|o__OFGB3069	2|1224||	0.62727	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	2|1224|28211|356	0.40773	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.39073	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.3502	
k__Bacteria|p__Firmicutes|c__CFGB3529|o__OFGB3529	2|1239||	0.34334	
k__Bacteria|p__Firmicutes|c__CFGB3048|o__OFGB3048	2|1239||	0.28964	
k__Bacteria|p__Firmicutes|c__CFGB1320|o__OFGB1320	2|1239||	0.27752	
k__Bacteria|p__Firmicutes|c__CFGB76465|o__OFGB76465	2|1239||	0.24065	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.16827	
k__Bacteria|p__Firmicutes|c__CFGB1213|o__OFGB1213	2|1239||	0.14336	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.13963	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	0.13538	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.13527	
k__Bacteria|p__Firmicutes|c__CFGB31455|o__OFGB31455	2|1239||	0.1244	
k__Bacteria|p__Firmicutes|c__CFGB9718|o__OFGB9718	2|1239||	0.11562	
k__Bacteria|p__Firmicutes|c__CFGB3071|o__OFGB3071	2|1239||	0.09053	
k__Bacteria|p__Firmicutes|c__CFGB31626|o__OFGB31626	2|1239||	0.08503	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	2|201174|1760|85009	0.07208	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2|1239|909932|909929	0.04921	
k__Bacteria|p__Firmicutes|c__CFGB1470|o__OFGB1470	2|1239||	0.0471	
k__Bacteria|p__Firmicutes|c__CFGB2954|o__OFGB2954	2|1239||	0.04512	
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	0.03403	
k__Bacteria|p__Firmicutes|c__CFGB75922|o__OFGB75922	2|1239||	0.03348	
k__Bacteria|p__Firmicutes|c__CFGB73062|o__OFGB73062	2|1239||	0.02777	
k__Bacteria|p__Firmicutes|c__CFGB2932|o__OFGB2932	2|1239||	0.0161	
k__Bacteria|p__Firmicutes|c__CFGB1011|o__OFGB1011	2|1239||	0.00386	
k__Bacteria|p__Tenericutes|c__CFGB1789|o__OFGB1789	2|544448||	0.00065	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	31.44309	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	17.3585	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	2|1239|91061|186826|33958	12.32361	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	2|1239|186801|186802|31979	5.01212	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	2|201174|84998|1643822|1643826	4.67552	
k__Bacteria|p__Firmicutes|c__CFGB58251|o__OFGB58251|f__FGB58251	2|1239|||	2.74574	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	2.73512	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	2.0919	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	1.75161	
