#mpa_vOct22_CHOCOPhlAnSGB_202212
#/home/nthukus/.conda/envs/iphop/bin/metaphlan m1_30neg_S192_R1_001.fastq.gz,m1_30neg_S192_R2_001.fastq.gz --bowtie2out m1_30neg_S192_R1_001.fastq.gz.bowtie2.bz2 --bowtie2db /scratchbeta/nthukus/metaphlan-4.0.3 --nproc 42 --input_type fastq -o m1_30neg_S192_R1_001.fastq.gz.tsv -s m1_30neg_S192_R1_001.fastq.gz.sam.bz2
#6892803 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	99.98831	
k__Archaea	2157	0.01169	
k__Bacteria|p__Firmicutes	2|1239	86.45114	
k__Bacteria|p__Actinobacteria	2|201174	6.32733	
k__Bacteria|p__Bacteroidetes	2|976	5.04648	
k__Bacteria|p__Proteobacteria	2|1224	1.42421	
k__Bacteria|p__Verrucomicrobia	2|74201	0.73915	
k__Archaea|p__Euryarchaeota	2157|28890	0.01169	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	77.67367	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	5.19289	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	4.96514	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	4.00826	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	2.55124	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	1.13444	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	1.10909	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.73915	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.63922	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.25248	
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.19794	
k__Bacteria|p__Firmicutes|c__CFGB3529	2|1239|	0.15404	
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.1511	
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	0.13857	
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.12606	
k__Bacteria|p__Firmicutes|c__CFGB1213	2|1239|	0.10411	
k__Bacteria|p__Firmicutes|c__CFGB2954	2|1239|	0.10071	
