#mpa_vOct22_CHOCOPhlAnSGB_202212
#/home/nthukus/.conda/envs/iphop/bin/metaphlan m7_98neg_S198_R1_001.fastq.gz,m7_98neg_S198_R2_001.fastq.gz --bowtie2out m7_98neg_S198_R1_001.fastq.gz.bowtie2.bz2 --bowtie2db /scratchbeta/nthukus/metaphlan-4.0.3 --nproc 42 --input_type fastq -o m7_98neg_S198_R1_001.fastq.gz.tsv -s m7_98neg_S198_R1_001.fastq.gz.sam.bz2
#10651781 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	99.76671	
k__Archaea	2157	0.23329	
k__Bacteria|p__Firmicutes	2|1239	88.73346	
k__Bacteria|p__Actinobacteria	2|201174	4.99977	
k__Bacteria|p__Bacteroidetes	2|976	4.01005	
k__Bacteria|p__Proteobacteria	2|1224	1.43818	
k__Bacteria|p__Verrucomicrobia	2|74201	0.57993	
k__Archaea|p__Euryarchaeota	2157|28890	0.23329	
k__Bacteria|p__Tenericutes	2|544448	0.00532	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	73.21867	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	5.63557	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	5.16927	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	4.42664	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	3.64937	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	2.75713	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	1.08583	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.57993	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.57314	
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	2|976|117743	0.32734	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.25211	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.23329	
k__Bacteria|p__Firmicutes|c__CFGB3529	2|1239|	0.20098	
k__Bacteria|p__Firmicutes|c__CFGB1507	2|1239|	0.19755	
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.16178	
k__Bacteria|p__Firmicutes|c__CFGB31626	2|1239|	0.1583	
k__Bacteria|p__Firmicutes|c__CFGB2954	2|1239|	0.15362	
k__Bacteria|p__Firmicutes|c__CFGB73223	2|1239|	0.13093	
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	0.105	
k__Bacteria|p__Firmicutes|c__CFGB1213	2|1239|	0.10181	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.09048	
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.0749	
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.0599	
k__Bacteria|p__Firmicutes|c__CFGB2932	2|1239|	0.05511	
k__Bacteria|p__Firmicutes|c__CFGB76465	2|1239|	0.04694	
k__Bacteria|p__Firmicutes|c__CFGB1226	2|1239|	0.04295	
k__Bacteria|p__Firmicutes|c__CFGB3004	2|1239|	0.03202	
k__Bacteria|p__Firmicutes|c__CFGB9989	2|1239|	0.02816	
k__Bacteria|p__Firmicutes|c__CFGB31455	2|1239|	0.02315	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.02301	
k__Bacteria|p__Firmicutes|c__CFGB2985	2|1239|	0.022	
k__Bacteria|p__Bacteroidetes|c__CFGB76022	2|976|	0.01795	
k__Bacteria|p__Bacteroidetes|c__CFGB629	2|976|	0.01539	
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	0.014	
k__Bacteria|p__Firmicutes|c__CFGB1470	2|1239|	0.01356	
k__Bacteria|p__Firmicutes|c__CFGB3040	2|1239|	0.01181	
k__Bacteria|p__Proteobacteria|c__CFGB76227	2|1224|	0.00976	
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	0.0086	
k__Bacteria|p__Tenericutes|c__CFGB1789	2|544448|	0.00532	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	49.18821	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	23.58093	
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642	2|1239||	5.63557	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	5.0035	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	3.7004	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	3.64937	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	2.75713	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	2|1224|28211|356	1.04583	
