#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	m1_30neg_S192_R1_001.fastq.gz	m2_30pos_S193_R1_001.fastq.gz	m3_38neg_S194_R1_001.fastq.gz	m4_38pos_S195_R1_001.fastq.gz	m5_43neg_S196_R1_001.fastq.gz	m6_43pos_S197_R1_001.fastq.gz	m7_98neg_S198_R1_001.fastq.gz	m8_98pos_S199_R1_001.fastq.gz
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	3.94734	13.09987	5.29407	5.70507	4.83436	6.38895	5.0035	8.20722
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642	2.55124	1.42617	7.34028	0.81033	4.26698	0.66318	5.63557	1.08367
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	1.07339	0.40773	1.57147	0.98534	0.29674	1.26443	1.04583	0.31025
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	1.02028	4.67552	1.06247	2.94952	0.49123	2.7601	0.72624	4.55253
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0.73915	0.86772	1.07087	1.3293	0.83466	0.66674	0.57993	0.71129
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.63922	0.3502	4.15674	0.55187	0.11716	0.17215	2.75713	0.31295
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	0.55788	0.07208	0.04089	0.0	0.0	0.14475	0.07301	0.05294
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	0.54552	2.73512	0.1692	3.172	0.0	3.11048	0.427	3.2158
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	0.41477	0.13963	0.59907	0.32035	0.27207	0.13465	0.44953	0.21315
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068	0.19794	1.325	0.06132	1.76615	0.0	1.19013	0.0749	1.9969
k__Bacteria|p__Firmicutes|c__CFGB3529|o__OFGB3529	0.15404	0.34334	0.22032	0.45416	0.0	0.37734	0.20098	0.50455
k__Bacteria|p__Firmicutes|c__CFGB9718|o__OFGB9718	0.1511	0.11562	0.15653	0.13776	0.0	0.12217	0.16178	0.07975
k__Bacteria|p__Firmicutes|c__CFGB10477|o__OFGB10477	0.13857	0.0	0.07482	0.00204	0.0	0.00866	0.105	0.0
k__Bacteria|p__Firmicutes|c__CFGB3048|o__OFGB3048	0.12606	0.28964	0.00501	0.28658	0.0	0.30718	0.0599	0.21484
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	0.12311	0.13527	0.2938	0.3336	0.50305	0.2374	0.20244	0.21034
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	0.11845	0.68112	0.0	0.79523	0.0	0.69181	0.03416	0.71855
k__Bacteria|p__Firmicutes|c__CFGB1213|o__OFGB1213	0.10411	0.14336	0.06417	0.18689	0.0	0.1685	0.10181	0.19842
k__Bacteria|p__Firmicutes|c__CFGB2954|o__OFGB2954	0.10071	0.04512	0.33329	0.1327	0.0	0.0346	0.15362	0.0929
k__Bacteria|p__Firmicutes|c__CFGB76465|o__OFGB76465	0.0923	0.24065	0.13709	0.23738	0.0	0.13877	0.04694	0.2425
k__Bacteria|p__Firmicutes|c__CFGB31626|o__OFGB31626	0.08355	0.08503	0.14582	0.17202	0.0	0.04911	0.1583	0.09478
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	0.08134	0.0	0.16971	0.01287	0.0	0.0	0.32734	0.0
k__Bacteria|p__Firmicutes|c__CFGB1507|o__OFGB1507	0.06232	0.0	0.23057	0.0	0.0	0.0	0.19755	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.06092	0.16827	0.13929	0.16504	0.0	0.10665	0.16576	0.21257
k__Bacteria|p__Firmicutes|c__CFGB2932|o__OFGB2932	0.04422	0.0161	0.07957	0.09845	0.0	0.0	0.05511	0.0
