#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	m1_30neg_S192_R1_001.fastq.gz	m2_30pos_S193_R1_001.fastq.gz	m3_38neg_S194_R1_001.fastq.gz	m4_38pos_S195_R1_001.fastq.gz	m5_43neg_S196_R1_001.fastq.gz	m6_43pos_S197_R1_001.fastq.gz	m7_98neg_S198_R1_001.fastq.gz	m8_98pos_S199_R1_001.fastq.gz
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9708	0.87755	0.12748	0.6181	0.28906	0.73339	0.22706	0.72583	0.20951
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Butyricicoccus	0.85526	2.30706	0.37729	3.57529	0.07042	3.02382	0.36031	2.6898
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__GGB3278	0.75651	1.57808	1.50168	0.91863	0.0	1.19395	0.75362	1.81319
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia	0.73915	0.86772	1.07087	1.3293	0.83466	0.66674	0.57993	0.71129
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9640	0.72602	0.0	1.22682	0.00692	1.99617	0.0	0.60221	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerotignum	0.71091	0.28833	1.34809	0.25447	1.1296	0.14875	0.41344	0.26416
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium	0.55788	0.07208	0.04089	0.0	0.0	0.14475	0.07301	0.05294
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Slackia	0.55398	0.26582	0.59787	0.34438	0.49123	0.28667	0.26074	0.41875
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	0.54552	2.73512	0.1692	3.172	0.0	3.11048	0.427	3.2158
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Catenibacterium	0.53409	0.10389	3.28108	0.26565	0.11716	0.0244	2.39306	0.04823
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora	0.4636	0.67114	0.35575	0.66254	0.0	1.12782	0.45738	0.84711
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Fusicatenibacter	0.42327	9.66943	0.16031	8.27049	0.0	11.04848	0.49078	9.08238
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Dysosmobacter	0.33093	0.21372	0.4783	0.28643	0.70549	0.17119	0.40198	0.24784
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB9774	0.309	0.13963	0.59907	0.26506	0.27207	0.13465	0.32908	0.20038
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB4578	0.3029	0.06418	1.22508	0.07882	0.0	0.01952	0.83494	0.04536
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Gemmiger	0.27118	0.16312	0.21789	0.42021	0.0	0.22324	0.1383	0.24939
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__GGB9424	0.26167	0.45711	0.10214	0.37753	0.0	0.50998	0.14936	0.46664
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola	0.25703	1.18669	0.10469	1.46291	0.0	1.51106	0.1836	1.37247
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__GGB51959	0.24051	0.0	0.18234	0.0	0.0	0.0	0.08578	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3588	0.23803	1.02667	0.21946	1.27943	0.0	1.52101	0.22799	1.15757
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068|f__FGB3068|g__GGB9760	0.19794	1.325	0.06132	1.76615	0.0	1.19013	0.0749	1.9969
k__Bacteria|p__Firmicutes|c__CFGB9119|o__OFGB9119|f__FGB9119|g__GGB13779	0.16928	0.20145	0.20284	0.32514	0.0	0.184	0.23424	0.25724
k__Bacteria|p__Firmicutes|c__CFGB3529|o__OFGB3529|f__FGB3529|g__GGB3570	0.15404	0.34334	0.22032	0.45416	0.0	0.37734	0.20098	0.50455
k__Bacteria|p__Firmicutes|c__CFGB9718|o__OFGB9718|f__FGB9718|g__GGB51441	0.1511	0.11562	0.15653	0.13776	0.0	0.12217	0.16178	0.07975
k__Bacteria|p__Firmicutes|c__CFGB10477|o__OFGB10477|f__FGB10477|g__GGB9345	0.13857	0.0	0.07482	0.00204	0.0	0.00866	0.105	0.0
k__Bacteria|p__Firmicutes|c__CFGB3048|o__OFGB3048|f__FGB3048|g__GGB9559	0.12606	0.28964	0.00501	0.28658	0.0	0.30718	0.0599	0.21484
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB13283	0.12517	0.03874	0.24432	0.15349	0.0	0.10577	0.17643	0.03842
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__GGB1379	0.12311	0.13527	0.26333	0.3336	0.50305	0.2374	0.18137	0.21034
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB9677	0.11891	10.16779	0.29268	2.55048	0.29502	3.62881	0.1506	5.1067
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae|g__GGB9786	0.11845	0.15887	0.0	0.46469	0.0	0.20738	0.03235	0.23542
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Waltera	0.11831	0.04202	0.20248	0.12191	0.0	0.09529	0.08746	0.01479
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3429	0.11358	0.39021	0.08918	0.25733	0.0	0.36913	0.10458	0.40308
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerobutyricum	0.11183	1.24879	0.15096	0.81393	0.0	0.97713	0.08267	0.95471
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB13404	0.10577	0.0	0.0	0.0553	0.0	0.0	0.12045	0.01277
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemanella	0.10513	0.10643	0.62276	0.11684	0.0	0.06595	0.30696	0.13102
k__Bacteria|p__Firmicutes|c__CFGB1213|o__OFGB1213|f__FGB1213|g__GGB9788	0.10411	0.14336	0.06417	0.18689	0.0	0.1685	0.10181	0.19842
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB33469	0.1017	0.12469	0.03028	0.08262	0.0	0.06881	0.05316	0.14105
k__Bacteria|p__Firmicutes|c__CFGB2954|o__OFGB2954|f__FGB2954|g__GGB9296	0.10071	0.04512	0.33329	0.1327	0.0	0.0346	0.15362	0.0929
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9737	0.0991	0.48229	0.08657	0.43631	0.0	0.49611	0.06892	0.59579
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB51960	0.09533	0.10852	0.0	0.11415	0.0	0.13442	0.01851	0.16954
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__GGB9691	0.09268	0.69465	0.0	0.5464	0.0	0.58879	0.01532	0.75694
k__Bacteria|p__Firmicutes|c__CFGB76465|o__OFGB76465|f__FGB76465|g__GGB80140	0.0923	0.24065	0.13709	0.23738	0.0	0.13877	0.04694	0.2425
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Paratractidigestivibacter	0.08837	0.24621	0.21203	0.10398	0.0	0.14424	0.04545	0.20082
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB4584	0.08781	0.11411	0.21575	0.15681	0.0	0.17507	0.19689	0.17825
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__GGB4682	0.08369	2.68634	0.11829	0.84836	0.0	1.01278	0.14163	2.05178
k__Bacteria|p__Firmicutes|c__CFGB31626|o__OFGB31626|f__FGB31626|g__GGB79700	0.08355	0.08331	0.14582	0.16933	0.0	0.04911	0.14386	0.09478
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__GGB80055	0.08134	0.0	0.16971	0.01287	0.0	0.0	0.32734	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__GGB1408	0.07732	0.0	0.20656	0.00186	0.0	0.0	0.1833	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillibacter	0.06901	0.17019	0.11153	0.11737	0.0	0.09737	0.0312	0.16697
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	0.06774	0.03863	0.30475	0.13016	0.0	0.04722	0.1984	0.01679
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__GGB9425	0.06372	0.01738	0.09427	0.02954	0.0	0.03087	0.03278	0.00577
k__Bacteria|p__Firmicutes|c__CFGB1507|o__OFGB1507|f__FGB1507|g__GGB3815	0.06232	0.0	0.23057	0.0	0.0	0.0	0.19755	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus	0.06092	0.10773	0.0805	0.13262	0.0	0.09112	0.12977	0.17654
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia	0.05722	0.16742	0.13933	0.27639	0.0	0.19938	0.0921	0.15865
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Roseburia	0.05648	0.02852	0.29794	0.11121	0.0	0.07979	0.14197	0.02617
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB35068	0.05125	0.09824	0.0	0.22344	0.0	0.14139	0.01652	0.16629
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacteriaceae_unclassified	0.05091	0.38162	0.06883	0.24267	0.0	0.38046	0.12962	0.42934
k__Bacteria|p__Firmicutes|c__CFGB2932|o__OFGB2932|f__FGB2932|g__GGB9261	0.04422	0.0161	0.07957	0.09845	0.0	0.0	0.05511	0.0
k__Bacteria|p__Firmicutes|c__CFGB76783|o__OFGB76783|f__FGB76783|g__GGB80011	0.04394	0.69605	0.0	0.16848	0.0	0.16269	0.0	0.49659
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3653	0.0435	0.01738	0.15071	0.05039	0.0	0.0	0.07797	0.0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio	0.03856	0.0	0.16145	0.00883	0.0	0.0	0.09048	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__GGB9759	0.03569	0.0	0.03444	0.0	0.0	0.0	0.03971	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospira	0.03402	0.01669	0.11434	0.04939	0.0	0.04064	0.0531	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__Micrococcus	0.03104	0.0	0.02042	0.0	0.0	0.0	0.01527	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	0.02904	0.0	0.12379	0.06102	0.0	0.02095	0.118	0.01581
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9635	0.02898	0.11625	0.03439	0.01203	0.0	0.0	0.02768	0.0471
k__Bacteria|p__Firmicutes|c__CFGB3004|o__OFGB3004|f__FGB3004|g__GGB58158	0.02845	0.0	0.02979	0.00464	0.0	0.00104	0.03202	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB4569	0.02824	0.40957	0.09937	0.22622	0.0	0.19454	0.09767	0.39639
k__Bacteria|p__Firmicutes|c__CFGB58251|o__OFGB58251|f__FGB58251|g__GGB9762	0.02813	2.74574	0.0	2.75861	0.0	2.96509	0.0	2.69409
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridiaceae_unclassified	0.02297	1.90302	0.21048	1.19565	0.0	1.2886	0.09675	2.18074
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB4541	0.02181	0.06804	0.05292	0.07494	0.0	0.0488	0.05992	0.0258
k__Bacteria|p__Firmicutes|c__CFGB9989|o__OFGB9989|f__FGB9989|g__GGB9712	0.02181	1.54683	0.0	0.93161	0.0	1.47433	0.02816	1.6799
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__GGB1221	0.01695	0.0	0.0516	0.01213	0.0	0.02417	0.05396	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella	0.01642	0.0	0.06672	0.08111	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB73223|o__OFGB73223|f__FGB73223|g__GGB9249	0.01324	0.0	0.15471	0.00279	0.0	0.0	0.13093	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	0.01169	0.03403	0.29183	0.16954	0.0	0.0	0.16419	0.05854
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB9595	0.01159	0.0	0.04183	0.02113	0.0	0.0	0.03856	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillospiraceae_unclassified	0.01137	0.22225	0.01394	0.08477	0.0	0.08502	0.01603	0.12429
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__GGB9747	0.01093	0.0	0.0051	0.0	0.0	0.0	0.01551	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9636	0.00942	0.00443	0.03925	0.0168	0.0	0.0	0.02428	0.00701
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9618	0.00826	0.01613	0.00815	0.01049	0.0	0.0	0.0	0.01824
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Anaerococcus	0.00799	0.0	0.04382	0.0	0.0	0.0	0.014	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Acidovorax	0.00767	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1226|o__OFGB1226|f__FGB1226|g__GGB2998	0.00419	0.0	0.01491	0.0	0.0	0.0	0.04295	0.0
k__Bacteria|p__Firmicutes|c__CFGB1470|o__OFGB1470|f__FGB1470|g__GGB3717	0.00367	0.0471	0.0093	0.0334	0.0	0.04836	0.01356	0.04647
k__Bacteria|p__Firmicutes|c__CFGB2985|o__OFGB2985|f__FGB2985|g__GGB9350	0.00312	0.0	0.00204	0.0	0.0	0.0	0.022	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB4723	0.00164	0.26112	0.02316	0.2774	0.0	0.29389	0.03751	0.25366
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Candidatus_Cibionibacter|s__Candidatus_Cibionibacter_quicibialis	28.02635	0.13538	15.32818	0.2434	30.66719	0.10199	23.58093	0.12024
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_SGB4669	4.71457	0.03564	1.75518	0.41087	9.5253	0.02233	3.6848	0.06156
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium|s__Faecalibacterium_SGB15346	4.58796	4.93448	1.17028	7.95085	3.2267	6.53793	1.44524	7.16173
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Marseilla|s__Marseilla_massiliensis	3.82829	0.4286	1.25301	1.33335	4.40342	1.39984	2.24053	0.59271
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Agathobaculum|s__Agathobaculum_butyriciproducens	3.69855	1.56788	2.74787	2.11153	6.11514	1.34555	2.05072	1.48973
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii	3.36267	4.40087	4.91764	4.71432	3.18222	3.88866	4.99233	4.35528
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Eubacteriales_unclassified|s__Clostridiales_bacterium_KLE1615	2.74265	0.27728	1.98555	0.39301	1.27889	0.5414	3.09294	0.19265
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_stercoris	2.72551	0.14843	2.69168	0.1224	0.7019	0.1564	4.45173	0.07262
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642|f__FGB38642|g__GGB9758|s__GGB9758_SGB15368	2.55124	1.42617	7.34028	0.81033	4.26698	0.66318	5.63557	1.08367
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Butyrivibrio|s__Butyrivibrio_crossotus	2.37769	1.38408	3.50207	2.10046	1.8433	1.7351	1.88285	0.88477
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB9602|s__GGB9602_SGB15031	2.21261	0.5251	1.9951	1.02835	4.53935	0.83336	1.95302	0.59286
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens	2.13813	1.66467	3.83586	1.34398	2.73813	1.98505	1.83637	1.69235
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB79634|s__GGB79634_SGB101324	2.11144	0.0	0.83601	0.01736	1.25926	0.03184	1.42002	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter|s__Ruminococcus_torques	1.94062	0.04371	3.86212	0.09661	6.3213	0.01751	2.68397	0.02117
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_SGB14861	1.7056	0.42723	1.70116	0.81387	2.46994	0.68552	1.7328	0.54134
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter|s__Ruminococcus_lactaris	1.53684	1.49358	0.99639	2.5401	2.41305	2.0834	1.34158	1.64068
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena	1.52083	2.23816	3.18544	3.22746	3.98175	2.23312	2.10131	2.84927
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9642|s__GGB9642_SGB15119	1.50725	0.81848	0.82959	1.51723	2.18017	1.17236	0.38973	0.74338
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae	1.41027	0.89041	1.72372	0.80207	0.0	1.14557	2.3718	0.84746
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_luti	1.11614	1.21953	0.67323	1.03278	0.0	1.62606	1.64398	0.9039
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus|s__Ruminococcus_bromii	1.0438	0.32413	1.80104	0.36531	0.36976	0.21404	1.50868	0.20911
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Brucellaceae|g__GGB15850|s__GGB15850_SGB5785	1.00339	0.39042	1.57147	0.98534	0.29674	1.15398	0.99962	0.30274
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_Marseille_Q4251	0.99089	0.35311	0.05252	1.49786	0.0	2.45234	1.27534	0.26003
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB4599|s__GGB4599_SGB6362	0.96064	0.29417	1.02856	0.20768	0.0	0.20725	1.37387	0.20977
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_catus	0.90641	0.80434	0.94559	0.59424	0.03794	1.05933	1.03226	0.72001
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_SGB6179	0.87262	0.0	0.74627	0.0	0.23719	0.0	0.02158	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Butyricicoccus|s__Butyricicoccus_sp_AM29_23AC	0.85526	2.30706	0.37729	3.57529	0.07042	3.02382	0.36031	2.6898
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__GGB3278|s__GGB3278_SGB4328	0.75651	1.57808	1.50168	0.91863	0.0	1.19395	0.75362	1.81319
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_muciniphila	0.73915	0.86772	1.07087	1.3293	0.83466	0.66674	0.57993	0.71129
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9640|s__GGB9640_SGB15115	0.72602	0.0	1.22682	0.00692	1.99617	0.0	0.60221	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerotignum|s__Anaerotignum_faecicola	0.71091	0.28833	1.34809	0.25447	1.1296	0.14875	0.41344	0.26416
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9708|s__GGB9708_SGB15234	0.70039	0.09711	0.4918	0.23796	0.71054	0.1797	0.55433	0.16809
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_comes	0.60725	0.25163	1.09328	0.34468	0.0	0.3145	1.22	0.25126
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_acnes	0.55788	0.07208	0.04089	0.0	0.0	0.14475	0.07301	0.05294
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Slackia|s__Slackia_isoflavoniconvertens	0.55398	0.26582	0.59787	0.34438	0.49123	0.28667	0.26074	0.41875
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus|s__Ruminococcus_sp_AF41_9	0.54277	0.0	0.41234	0.0	0.0	0.0	0.65741	0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Coprobacillaceae|g__Catenibacterium|s__Catenibacterium_SGB4425	0.53409	0.10389	3.28108	0.26565	0.11716	0.0244	2.39306	0.04823
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora|s__Lacrimispora_celerecrescens	0.43004	0.62469	0.15786	0.61783	0.0	1.12782	0.3417	0.79223
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Fusicatenibacter|s__Fusicatenibacter_saccharivorans	0.42327	9.66943	0.16031	8.27049	0.0	11.04848	0.49078	9.08238
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_sp_OM04_5BH	0.41527	0.15911	1.68697	0.50578	0.0	0.1977	1.03254	0.22032
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_faecis	0.4127	0.39483	0.54913	0.46434	0.06406	0.46092	0.60688	0.34958
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis	0.38198	1.78333	0.1692	2.25318	0.0	1.97998	0.38288	2.05742
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Eubacterium_rectale	0.33427	0.58568	1.24909	1.14029	0.35688	0.63107	0.6902	0.99078
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Dysosmobacter|s__Dysosmobacter_sp_BX15	0.33093	0.21372	0.4783	0.28643	0.70549	0.17119	0.40198	0.24784
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Dorea|s__Dorea_sp_AF36_15AT	0.33024	0.20474	0.64716	0.21122	0.22697	0.26241	0.3567	0.31016
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB9774|s__GGB9774_SGB15394	0.309	0.13963	0.59907	0.26506	0.27207	0.13465	0.32908	0.20038
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB4578|s__GGB4578_SGB6328	0.3029	0.06418	1.22508	0.07882	0.0	0.01952	0.83494	0.04536
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans	0.29481	0.00237	0.76507	0.0	0.0	0.00077	0.55252	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Gemmiger|s__Gemmiger_formicilis	0.27118	0.16312	0.20992	0.42021	0.0	0.22324	0.12498	0.24939
