#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	m1_30neg_S192_R1_001.fastq.gz.tsv.gtdb	m2_30pos_S193_R1_001.fastq.gz.tsv.gtdb	m3_38neg_S194_R1_001.fastq.gz.tsv.gtdb	m4_38pos_S195_R1_001.fastq.gz.tsv.gtdb	m5_43neg_S196_R1_001.fastq.gz.tsv.gtdb	m6_43pos_S197_R1_001.fastq.gz.tsv.gtdb	m7_98neg_S198_R1_001.fastq.gz.tsv.gtdb	m8_98pos_S199_R1_001.fastq.gz.tsv.gtdb
d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales	0.03856	0.0	0.16145	0.00883	0.0	0.0	0.09048	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales	0.02409	0.0	0.06672	0.08111	0.0	0.0	0.0	0.0
d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales	0.01169	0.03403	0.4422899999999999	0.1944	0.0	0.0	0.23329	0.05854
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales	0.00419	0.10267	0.01491	0.0707	0.0	0.05049	0.04704	0.1545
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae	36.89229	10.3036	25.13035	14.17654	37.19328	11.297	32.657309999999995	12.59869
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	30.26262	34.34335999999999	33.42205999999999	39.87358	28.158819999999995	44.22895	36.230430000000005	35.76177
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	4.2544200000000005	1.75056	1.80657	3.20301	4.90647	3.19343	2.77746	2.19133
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae	4.55381	3.87494	3.12516	5.68682	6.185560000000001	4.36937	2.41103	4.17953
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-74	3.04354	7.039200000000001	7.54403	6.945950000000001	4.26698	6.45051	5.900150000000001	7.557259999999999
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae	6.426229999999999	22.822109999999995	5.87524	12.630330000000002	10.449589999999995	14.2971	4.585289999999999	17.72244
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	2.13813	1.66467	3.83586	1.34398	2.73813	1.98505	1.83637	1.69235
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae	3.53436	4.04285	5.041040000000001	2.7836200000000004	2.8397	2.87481	4.06673	4.141940000000001
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae	1.00339	0.39042	1.57147	0.98534	0.29674	1.15398	0.99962	0.30274
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508	1.4676800000000003	1.37766	2.74403	1.14235	0.0	0.94113	2.7196899999999995	1.40251
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae	0.8830399999999999	0.13822	0.8271	0.02427	0.23719	0.0	0.02158	0.0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae	0.73915	0.86772	1.07087	1.3293	0.83466	0.66674	0.57993	0.71129
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae	0.7732300000000001	0.28833	1.57866	0.25447	1.1296	0.14875	0.6109899999999999	0.26416
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae	0.55788	0.07208	0.04089	0.0	0.0	0.14475	0.07301	0.05294
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae	0.93659	0.90772	0.94989	1.02784	0.49123	1.0269	0.55427	1.04981
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae	0.5455099999999999	2.73512	0.1692	3.172	0.0	3.11049	0.427	3.2158
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__UBA1750	0.309	0.13963	0.59907	0.26506	0.27207	0.13465	0.32908	0.20038
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__UMGS124	0.09533	0.10852	0.18234	0.11415	0.0	0.13442	0.01851	0.16954
d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660	0.33816	4.650949999999999	0.61014	2.8636600000000003	0.0	2.3680900000000005	0.71367	4.36421
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-138	0.14169	1.33129	0.1322399999999999	0.7701100000000001	0.0	0.86002	0.1356	1.26224
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-272	0.2639399999999999	0.19044	0.56757	0.38979	0.0	0.1092799999999999	0.4601099999999999	0.2056299999999999
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae	0.10513	0.2376899999999999	0.82691	0.27825	0.0	0.14776	0.33448	0.26472
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae	0.08837	0.24621	0.21203	0.10398	0.0	0.14424	0.04545	0.20082
d__Bacteria;p__Firmicutes_B;c__Peptococcia;o__Peptococcales;f__Peptococcaceae	0.08134	0.0	0.20303	0.0219299999999999	0.0	0.0	0.32734	0.00082
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae	0.07732	0.0	0.30743	0.03265	0.0	0.00051	0.28741	0.00193
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae	0.07	0.01731	0.0	0.0	0.0	0.09196	0.04621	0.00751
