Taxon_Lineage_with_Names	Taxon_Lineage_with_IDs	ENT059	ENT065	ENT089	ENT098	ENT108	ENT109	ENT111	ENT118	ENT119	ENT120	ENT121	ENT122	ENT124	ENT125	ENT129	ENT130	ENT131	ENT132	ENT134	ENT135	ENT138
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|no rank_environmental samples|species_Firmicutes bacterium CAG:83	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|no rank_47928|species_1262992	6.722118042087272e-06	0.0	1.361935537005781e-05	1.323661365214953e-06	1.323661365214953e-06	1.242449908685892e-05	0.0	1.815020107500612e-05	0.0001834494958629	1.6249498802658228e-05	5.7753040861536046e-05	0.0	1.9566969063353e-06	4.163928306858326e-05	0.0	8.295259268538179e-05	0.0002569848054988	0.0003899359871301	2.064822973217961e-05	0.0007217954814397	2.078502618434278e-05
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|no rank_environmental samples|species_Firmicutes bacterium CAG:110	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|no rank_47928|species_1263000	3.2688920842254664e-05	0.0	0.0004275265419549	3.782253913501544e-06	3.782253913501544e-06	1.419897626531961e-05	0.0	0.0	2.5370424006159572e-05	3.209504403586979e-05	6.455535369718704e-05	8.074704339191755e-05	3.3372684041573355e-06	0.0002060128921808	1.558521331823126e-05	0.0001242468573425	0.0003495923600168	0.0001474213784846	4.707951621478374e-06	0.002119603686853	4.782719684843925e-05
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|no rank_environmental samples|species_Firmicutes bacterium CAG:103	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|no rank_47928|species_1262999	8.951251678152133e-06	0.0	9.290203045323137e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.315147831920793e-05	0.0	0.0	3.4369250692763164e-06	0.0	0.0	0.0009085047936615	0.0	3.8822528194685525e-06	0.0	0.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Negativicutes|order_Veillonellales|family_Veillonellaceae|genus_Dialister|species_Dialister invisus	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_909932|order_1843489|family_31977|genus_39948|species_218538	3.3137387498239094e-05	9.25585235491665e-05	0.0079788477736911	0.0	0.0	0.0003335540961412	0.0	8.148312193959283e-05	0.0030343543377634	0.0	1.871216324793308e-05	0.0	2.904647407152476e-06	2.0038912116883596e-05	0.0	0.0002993072729467	7.236645902360403e-05	0.000180124615007	1.4072955707420228e-05	4.498309727699637e-05	0.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Negativicutes|order_Veillonellales|family_Veillonellaceae|genus_Dialister|species_Dialister succinatiphilus	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_909932|order_1843489|family_31977|genus_39948|species_487173	6.342544769683772e-06	0.0	0.0	0.0	0.0	1.0628126458687386e-05	0.0	0.0	0.0	0.0	8.892691662647921e-07	0.0	0.0	0.0	0.0	0.0	2.222707022975177e-05	0.0	4.525468483568635e-06	1.0243937512674696e-05	0.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Negativicutes|order_Veillonellales|family_Veillonellaceae|genus_Veillonella|species_Veillonella parvula	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_909932|order_1843489|family_31977|genus_29465|species_29466	9.83949558712377e-06	0.0	0.0	1.5670811641158564e-06	1.5670811641158564e-06	8.964528258027385e-07	0.0003655643475455	1.3335935146967946e-05	3.285284611966981e-05	1.1732934298472973e-05	1.014871580014614e-05	0.0	4.483206943818634e-06	3.001074295295199e-05	9.586224397296924e-05	2.0513491428750952e-05	7.145362205651648e-05	0.0001002524769307	1.50769300631899e-05	0.0001306889261089	7.636483916780633e-06
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Negativicutes|order_Veillonellales|family_Veillonellaceae|genus_Veillonella|species_Veillonella dispar	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_909932|order_1843489|family_31977|genus_29465|species_39778	1.9071702254116163e-06	0.0	0.0	0.0	0.0	0.0	0.0021338688247863	0.0	0.0	0.0	1.150260190081637e-05	0.0	0.0	0.0	0.0	0.0	4.233909626203024e-06	0.0001277904696392	1.978402460111047e-06	1.0138168429936845e-06	0.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Negativicutes|order_Acidaminococcales|family_Acidaminococcaceae|genus_Phascolarctobacterium|species_Phascolarctobacterium succinatutens	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_909932|order_1843488|family_909930|genus_33024|species_626940	3.263947377891669e-06	0.0	0.0	1.519278082502298e-06	1.519278082502298e-06	1.189666754336636e-06	0.0	0.0	0.0	0.0	2.796724309218864e-05	0.0	0.0	2.222707964207756e-06	0.0	0.0	0.0001311651393479	8.32800060635582e-05	0.0	1.3063251991617833e-05	4.872332654856982e-07
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|no rank_unclassified Firmicutes sensu stricto|species_Firmicutes bacterium AF25-13AC	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|no rank_84086|species_2292181	1.988483131246956e-05	0.0	0.0002809537699119	1.793863856706909e-06	1.793863856706909e-06	1.6473832889465763e-05	0.0	0.0	1.54539872436655e-05	5.2536503252718205e-05	3.1608284663420073e-05	0.0	4.623052635886503e-06	9.91276309493021e-05	1.2153634472049706e-05	7.290780348336992e-06	0.0002728640078902	2.1383614643025883e-05	5.660049451847482e-05	0.0003391288323521	9.92988055133597e-06
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|no rank_unclassified Firmicutes sensu stricto|species_Firmicutes bacterium AM55-24TS	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|no rank_84086|species_2292896	8.232261056186314e-05	0.0001833708579077	0.0008674982931319	6.777049471632449e-06	6.777049471632449e-06	2.62730176661555e-05	0.0	0.0002286050610523	5.178475393819122e-05	0.0004948093294357	8.431108142322817e-05	0.0	6.48829887767608e-06	4.250219206334329e-05	3.906853075262858e-05	0.0001148985333528	0.0007482715945365	9.95614919478334e-05	5.138305938367614e-05	0.0008707431214279	9.003029424803803e-05
