Taxon_Lineage_with_Names	Taxon_Lineage_with_IDs	A11	A1	A9	B1	B4	CER069	CER119	CER201	CER202	CER203	CER205	CER206	CER207	CER209	CER210	CER211	CER212	CER213	CER214	CER215	CER216	CER217	CER218	CER220	CER222	CER223	CER226	CER228	CER229	CER230	CER231	CER232	CER233	CER235
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Clostridia|order_Candidatus Borkfalkiales|family_Candidatus Borkfalkiaceae	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_186801|order_2508939|family_2508947	0.0	0.0	2241.0	0.0	0.0	1298.0	0.0	0.0	0.0	16547.0	0.0	1309.0	0.0	0.0	0.0	0.0	0.0	0.0	221.0	0.0	0.0	924.0	0.0	0.0	0.0	0.0	1210.0	0.0	8047.0	0.0	0.0	1060.0	0.0	7791.0
no rank_root|no rank_cellular organisms|superkingdom_Eukaryota|clade_Opisthokonta|kingdom_Fungi|subkingdom_Dikarya|phylum_Ascomycota|clade_saccharomyceta|subphylum_Saccharomycotina|class_Saccharomycetes|order_Saccharomycetales|family_Saccharomycetaceae	no rank_1|no rank_131567|superkingdom_2759|clade_33154|kingdom_4751|subkingdom_451864|phylum_4890|clade_716545|subphylum_147537|class_4891|order_4892|family_4893	0.0	0.0	12.0	189.0	0.0	10.0	13.0	112.0	697.0	1600.0	0.0	0.0	0.0	0.0	30.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	79.0	0.0	0.0	41.0	141.0	0.0	19.0	1591.0	70.0	0.0	47.0	25.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Clostridia|order_Clostridiales|family_Peptococcaceae	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_186801|order_186802|family_186807	0.0	0.0	0.0	965.0	0.0	0.0	1059.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	573.0	0.0	0.0	0.0	0.0	0.0	0.0	166.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	706.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Bacilli|order_Lactobacillales|family_Lactobacillaceae	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_91061|order_186826|family_33958	0.0	0.0	0.0	42764.0	0.0	1706.0	9424.0	10252.0	1110.0	52582.0	9038.0	0.0	0.0	3509.0	3911.0	447.0	858.0	0.0	0.0	24347.0	1883.0	141.0	3808.0	0.0	149424.0	10723.0	1025.0	0.0	14508.0	13173.0	4133.0	246.0	0.0	0.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Actinobacteria|class_Coriobacteriia|order_Coriobacteriales|family_Coriobacteriaceae	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_201174|class_84998|order_84999|family_84107	0.0	0.0	0.0	8740.0	0.0	0.0	2196.0	4143.0	13211.0	5182.0	1568.0	0.0	0.0	4041.0	3299.0	0.0	1622.0	0.0	0.0	0.0	3848.0	1221.0	2678.0	0.0	0.0	30747.0	1562.0	0.0	738.0	1248.0	11170.0	0.0	1085.0	936.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Actinobacteria|class_Coriobacteriia|order_Eggerthellales|family_Eggerthellaceae	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_201174|class_84998|order_1643822|family_1643826	0.0	0.0	0.0	1928.0	0.0	0.0	186.0	690.0	13294.0	238.0	0.0	0.0	0.0	299.0	342.0	0.0	0.0	0.0	0.0	438.0	0.0	0.0	1824.0	0.0	3858.0	59534.0	1132.0	0.0	1619.0	14657.0	2873.0	1775.0	0.0	968.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|phylum_Proteobacteria|class_Betaproteobacteria|order_Burkholderiales|family_Comamonadaceae	no rank_1|no rank_131567|superkingdom_2|phylum_1224|class_28216|order_80840|family_80864	0.0	0.0	0.0	368.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|phylum_Proteobacteria|subphylum_delta/epsilon subdivisions|class_Deltaproteobacteria|order_Desulfovibrionales|family_Desulfovibrionaceae	no rank_1|no rank_131567|superkingdom_2|phylum_1224|subphylum_68525|class_28221|order_213115|family_194924	0.0	0.0	0.0	3577.0	0.0	575.0	7362.0	3464.0	8509.0	10739.0	8258.0	489.0	0.0	0.0	0.0	0.0	2126.0	0.0	172.0	0.0	8979.0	0.0	0.0	0.0	129396.0	3877.0	4324.0	0.0	0.0	2876.0	728.0	0.0	403.0	3062.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|phylum_Proteobacteria|class_Alphaproteobacteria|order_Rhodospirillales|family_Acetobacteraceae	no rank_1|no rank_131567|superkingdom_2|phylum_1224|class_28211|order_204441|family_433	0.0	0.0	0.0	2997.0	0.0	1976.0	5096.0	0.0	0.0	0.0	62596.0	20335.0	0.0	0.0	35950.0	0.0	0.0	0.0	0.0	3607.0	0.0	34657.0	134594.0	0.0	0.0	0.0	2621.0	0.0	418.0	1308.0	0.0	0.0	17476.0	1926.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|phylum_Synergistetes|class_Synergistia|order_Synergistales|family_Synergistaceae	no rank_1|no rank_131567|superkingdom_2|phylum_508458|class_649775|order_649776|family_649777	0.0	0.0	0.0	9830.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2118.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
