Samp_Name	Tot_Samp_Reads	Unassigned_Step_One	Assigned_Step_Three	Unassigned_Step_Three
m1_30_neg	3476333	468750	2985042	491291
m2_30_pos	4493852	631621	3843051	650801
m3_38_neg	3481795	423810	3040148	441647
m4_38_pos	4545615	688608	3840776	704839
m5_43_neg	373284	56650	302252	71032
m6_43_pos	3720927	549853	3150662	570265
m7_98_neg	5360169	618060	4718034	642135
m8_98_pos	3606670	519955	3069875	536795
