Taxon	A11	A1	A9	B1	B4	CER069	CER119	CER201	CER202	CER203	CER205	CER206	CER207	CER209	CER210	CER211	CER212	CER213	CER214	CER215	CER216	CER217	CER218	CER220	CER222	CER223	CER226	CER228	CER229	CER230	CER231	CER232	CER233	CER235	ENT021	ENT040	ENT048	ENT082	ENT086	ENT087	ENT093	ENT102	ENT123	ENT127	ENT059	ENT065	ENT089	ENT098	ENT108	ENT109	ENT111	ENT118	ENT119	ENT120	ENT121	ENT122	ENT124	ENT125	ENT129	ENT130	ENT131	ENT132	ENT134	ENT135	ENT138
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides"	9128101	235	34093	10235	0	5748	245757	139372	109784	93765	0	0	0	27688	130514	0	73053	0	104335	8628	9287	3199	39434	603	1227789	51841	23	38866	167117	325715	71436	58374	3113	311216	1597	855	17162486	217829	256753	16896	1564027	27810	268483	275216	361491	23708	3665	2380654	2380654	788916	79672	152407	3474	19359	94400	0	48034	13613	38891	1009392	166921	22110	256177	70872	55578
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Paraprevotella"	0	0	0	0	0	0	0	0	0	0	0	0	0	48509	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola"	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28955	0	0	379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113554	0	0	0	75	166	0	0	0	0	0	0	848	0	0	0
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella"	0	941	0	0	0	0	4239194	0	0	0	5946	0	0	173701	4574	0	0	0	0	25014	0	0	7919	0	0	0	0	432	281600	1750	0	840613	446	0	24696	73552	0	0	0	0	0	0	0	0	0	0	17	4136982	4136982	2035768	553	0	0	0	775498	0	0	4348	959	6469	0	271	752121	0	0
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotellamassilia"	0	0	0	0	0	0	0	0	0	0	3911	0	0	0	0	0	0	598	0	0	0	0	0	0	0	0	2594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2167	0	0	0	0	0	0	411	0	0	0
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__UBA6398"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella"	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	6766	0	0	0	0	0	9439	0	416030	0	0	112992	44258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49362	0	0	1293	0
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Coprobacteraceae;g__Coprobacter"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Dysgonomonas"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Proteiniphilum"	0	0	0	0	0	0	0	0	0	11046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Butyricimonas"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4181	0	0	0	0	0	0	0	2197	0	0	0	0	0	18	34	0	0	0
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Gabonibacter"	0	709	0	0	0	0	477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	961	0	0	0	0	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
